m1_source,m2_source,chi1,chi2,dL,Lambda1,Lambda2
1.489663292201323097e+00,1.253001522266839807e+00,5.074088785584984253e-03,7.947579913203850835e-03,3.405399163152205944e+01,2.747846720714321123e+02,8.662342367954172460e+02
1.401488532907866125e+00,1.324546308465265998e+00,2.009770551086981216e-02,3.891669889565362722e-02,4.304399966942111888e+01,4.856214630328798876e+02,9.180095325200736056e+01
1.377259445947872640e+00,1.352480375429014670e+00,1.908795179574528100e-02,9.375397039013862177e-03,3.537022308995475584e+01,5.360087386939183034e+02,7.881765445990791363e+01
1.391407882040638366e+00,1.334707134257216099e+00,1.952103608793517506e-02,3.007275763503602234e-02,4.226690865404311381e+01,1.762948109090970945e+02,9.829369720425524974e+02
1.434841680179230083e+00,1.295890642157090156e+00,4.439951450689651885e-02,4.645906110212601192e-02,4.068217026984952867e+01,2.517160684895766849e+02,1.221384393963426191e+03
1.509595098389845402e+00,1.234861095088923166e+00,4.379470024016628160e-02,1.415214621154554410e-02,3.789426455164574747e+01,3.140439860013702855e+02,2.191764626916215093e+02
1.649995151483090838e+00,1.135627405213518015e+00,4.196907085530557358e-02,4.377813419237848447e-02,3.752134010998693014e+01,1.182847824410127124e+01,5.039195639641131379e+02
1.371754838998264558e+00,1.356391929780822903e+00,1.238149502824044401e-02,1.619803464453278830e-02,3.743536434846086536e+01,9.507645903185948555e+01,5.953240368708252390e+02
1.502141175185290223e+00,1.244889619634750755e+00,3.290987624104408510e-02,3.780096997925847663e-02,3.060724135791728528e+01,3.866151212687065026e+02,9.932403898189883193e+02
1.468069753546108469e+00,1.268982011648557728e+00,1.959671517413725389e-02,4.440754506068778779e-02,3.756769059999759719e+01,5.038901465573047744e+02,6.318031946127861147e+02
1.576809659096843674e+00,1.187541412503246852e+00,2.608406300900055486e-02,4.257830947374528774e-02,3.286845467859282621e+01,6.745546151859033444e+02,1.295543319886801328e+02
1.508723497688950976e+00,1.233032850137957270e+00,3.930665684499175944e-02,3.702018581803395714e-02,4.261344184992073281e+01,2.313380360303954149e+02,2.763661658434693891e+02
1.427236526805710337e+00,1.301929054968370858e+00,8.290267857091297710e-03,1.761567368837796757e-02,4.160333033828574401e+01,9.150642864990548730e+01,6.422372098268473337e+02
1.553246444230186318e+00,1.199505796351990394e+00,4.069936958421543211e-02,1.405372244330654018e-02,4.250706235604928906e+01,4.353614941410285155e+02,1.310242925632696142e+03
1.374067688490164807e+00,1.354564844770275833e+00,8.386905050321960195e-03,8.282562449706055638e-03,3.703505963359437914e+01,2.700919278143348947e+02,2.462915793175189378e+02
1.382058668791719569e+00,1.347757701465871483e+00,3.174765565216782631e-02,9.127310506789897832e-03,3.519026578115575177e+01,3.086612992236767923e+02,3.213817592142984836e+01
